Word,Pronunciation,Translation,Definition,Familiarity
coalesce,[ˌkoʊəˈles],v.合并，融合,fuse,2
coerce,[koʊˈɜːrs],vt.（以武力）强制,achieve by force,2
abrade,[əˈbreɪd],v.磨损，精神上折磨,wear away by friction,2
denude,[dɪˈnuːd],vt. 脱去，使赤裸,bare,2
lance,[læns],v.刺穿，刺破,penetrate with a pointed object,2
renegade,[ˈrenɪɡeɪd],n.背教者，叛徒,"a deserter from one faith, cause, or allegiance to another",2
province,[ˈprɑːvɪns],n.职能范围,field of activity or authority,2
tirade,[ˈtaɪreɪd],n. 长篇抨击性演讲,"angry, of censorious or denunciatory",2
protrude,[proʊˈtruːd],v.突出,project,2
collude,[kəˈluːd],v.串通，共谋（做坏事）,act together secretly,2
latitude,[ˈlætɪtuːd],n. （行动或言论）自由,freedom,2
arrogance,[ˈærəɡəns],n．傲慢，自大,overbearing pride,2
masquerade,[ˌmæskəˈreɪd],n.面具，伪装; vi.伪装，掩饰,1.display insincere; 2.disguise,2
obeisance,[oʊˈbiːsns],n.敬礼，尊重,"respect,submission",2
override,[ˌoʊvərˈraɪd],v.推翻,set aside,2
bromide,[ˈbroʊmaɪd],n.陈词滥调,a hackneyed statement,2
