Word,Pronunciation,Translation,Definition,Familiarity
amble,[ˈæmbl],vi./n.漫步，闲逛,walk slowly or leisurely,2
redoubtable,[rɪˈdaʊtəbl],adj.杰出的，值得尊敬的；; adj.可怕的,1.worthy of respect; 2.arousing fear,2
dabble,[ˈdæbl],vi.涉猎，对…浅尝辄止,superficially,2
warble,[ˈwɔːrbl],v. 柔和地唱歌,sing with melodic embellishments,2
inalienable,[ɪnˈeɪliənəbl],adj. 不可剥夺的，不能让与的,cannot be transferred,2
irradicable,[ɪˈrædɪkəbəl],adj. 不能根除的,impossible destroy,2
dissemble,[dɪˈsembl],v. 用假象隐藏真相，掩饰,FALSE,2
pliable,[ˈplaɪəbl],adj.易弯曲的，柔软的; adj.易受影响的，温顺的,1. supple; 2. easily influenced,2
impenetrable,[ɪmˈpenɪtrəbl],adj. 不可渗透的，不可穿透的; adj. 难以理解的,1. impossible to get through; 2. incapable of being comprehended,2
culpable,[ˈkʌlpəbl],adj. 该受谴责的，有罪的,deserving blame,2
humble,[ˈhʌmbl],adj. 谦逊的; adj. 顺从的，谦卑的,1. meekness or modesty; 2.. humility or unseemly submissiveness,2
scribble,[ˈskrɪbl],v.潦草地书写，乱写,meaningless,2
deplorable,[dɪˈplɔːrəbl],adj.可鄙的，可耻的；,condemnation or reproach,2
amicable,[ˈæmɪkəbl],adj.友善的,friendly,2
inexorable,[ɪnˈeksərəbl],adj. 无法劝阻的，不为所动的,not persuaded,2
indispensable,[ˌɪndɪˈspensəbl],adj. 必不可少的，不可或缺的,impossible to do without,2
considerable,[kənˈsɪdərəbl],adj.（数量上）可观（而值得注意）的; adj.值得考虑的，重要的,1. sufficiently large in size; 2. a school specializing in fine arts,2
ostensible,[ɑːˈstensəbl],adj.表面上的，佯装的,appearing to be true,2
intelligible,[ɪnˈtelɪdʒəbl],adj. 可理解的,being understood,2
potable,[ˈpoʊtəbl],n.饮品，尤指有酒精饮料; adj.适于饮用的,1. a beverage; 2. suitable for drinking,2
gamble,[ˈɡæmbl],v.赌博，孤注一掷,bet,2
nibble,[ˈnɪbl],vt.小口咬,small bites,2
immutable,[ɪˈmjuːtəbl],adj. 不可变的,not capable of changing,2
fallible,[ˈfæləbl],adj.可能出错的,erroneous,2
ramble,[ˈræmbl],vi.漫谈；长篇大论（并经常离题）地说或写,talk without a topic,2
interminable,[ɪnˈtɜːrmɪnəbl],adj. 无尽头的,no end,2
indelible,[ɪnˈdeləbl],adj. 无法忘怀的,not easily forgotten,2
applicable,"[ˈæplɪkəbl,əˈplɪkəbl]",adj.可用的，可行的；; adj.相关的，有关的；,1. put to use; 2. having to do with,2
compatible,[kəmˈpætəbl],adj.一致的，能共存的,in harmony,2
reconcile,[ˈrekənsaɪl],vt.使和解，协调,harmony,2
meddle,[ˈmedl],vi.干涉，管闲事,intrude,2
wheedle,[ˈwiːdl],v. （用花言巧语）诱惑，哄骗,persuade by flattery,2
scruple,[ˈskruːpl],n.（良心上的）不安,unseasy feeling about the rightness,2
dawdle,[ˈdɔːdl],v. 拖拖拉拉,slowly,2
ruffle,[ˈrʌfl],vt.使粗糙; vt.扰乱，打扰,1.destroy smoothness; 2.disturb,2
wholesome,[ˈhoʊlsəm],adj. 有益身心健康的,promoting health,2
swindle,[ˈswɪndl],vt. 欺骗，骗取,cheat,2
volatile,[ˈvɑːlətl],adj. 多变的,rapid change,2
subtle,[ˈsʌtl],adj. 微妙的，难以感知的,difficult to perceive,2
ramshackle,[ˈræmʃækl],adj.摇摇欲坠的,ready to collapse,2
labile,['lebɪl],adj. 易变的，不稳定的,unstable,2
mollycoddle,[ˈmɑːlikɑːdl],vt.宠爱，溺爱,excessive indulgence,2
inveigle,[ɪnˈveɪɡl],vt. 诱骗,win over by coaxing,2
mettle,[ˈmetl],n.勇气; n.毅力，耐力,1.strength of spirit; 2.stamina,2
bridle,[ˈbraɪdl],v.限制,keep from exceeding,2
tangle,[ˈtæŋɡl],v.纠缠，使…纠结,seize as if in snare,2
fragile,[ˈfrædʒl],adj.易碎的,broken,2
mottle,['mɑtl],vt.标记上杂色斑点的,mark spots,2
mingle,[ˈmɪŋɡl],vt.混合，结合,mix,2
hyperbole,[haɪˈpɜːrbəli],n. 夸张,exaggeration used for emphasis,2
nettle,[ˈnetl],vt.惹怒,arouse anger,2
apostle,[əˈpɑːsl],n.（政策或思想等的）信奉者，支持者,actively supports,2
peddle,[ˈpedl],v.叫卖，兜售,sell,2
trickle,[ˈtrɪkl],vi. 一滴一滴地流，缓慢地流,fail in drops,2
sterile,[ˈsterəl],adj. 贫瘠的; adj. 无菌的,1. not productive; 2. free from bacteria,2
lissome,['lisəm],adj.柔软的; adj.敏捷的，轻盈的,1.easily bent; 2.move with ease,2
embezzle,[ɪmˈbezl],vt. 盗用,appropriate,2
rigmarole,[ˈrɪɡməroʊl],n.混乱无意义的话,confused or meaningless talk,2
tackle,[ˈtækl],vt. 着手处理,start work,2
