Word,Pronunciation,Translation,Definition,Familiarity
loathe,[loʊð],vt.厌恶,dislike,2
plunge,[plʌndʒ],v.突然下降,descend suddenly,2
stale,[steɪl],adj.陈旧乏味的,so often as to be dull,2
deluge,[ˈdeljuːdʒ],n. 大暴雨   n. 大量,1. drenching rain; 2. great flow,2
camaraderie,[ˌkɑːməˈrɑːdəri],n.友情,a spirit of friendly fellowship,2
barrage,[bəˈrɑːʒ],n.有压倒之势的言语,an overwhelming outpouring,2
grudge,[ɡrʌdʒ],n.怨恨，仇恨,ill will,2
rife,[raɪf],adj.丰富的，普遍的,great numbers,2
persiflage,[ˈpɜːrsɪflɑːʒ],n.打趣,teasing,2
dodge,[dɑːdʒ],v. 躲避,avoid,2
pastiche,[pæˈstiːʃ],n.（带嘲讽的）模仿; n.大杂烩,1.with satirical intent; 2.hodgepodge,2
hedge,[hedʒ],v. 闪烁其词,avoid definite answer,2
bulge,[bʌldʒ],n.凸起,a protuberant,2
slake,[sleɪk],vt.使满足,satisfy,2
blithe,[blaɪð],adj.愉快高兴的; adj.无忧无虑的；漫不经心的,"1. happy, lighthearted; 2. having freedom from worries",2
fail-safe,[ˈfeɪl seɪf],n.保险措施; adj.万无一失的,1.preclude loss; 2.no chance of failure,2
singe,[sɪndʒ],vt.轻微烧焦,burn superficially,2
gauche,[ɡoʊʃ],adj.笨拙的，缺乏社交经验的,lacking grace,2
hale,[heɪl],adj.强壮的，健壮的,free from infirmity or illness,2
stoke,[stoʊk],vt. 增大，促进,make greater,2
hie,[haɪ],vi. 匆匆忙忙,hasten,2
stymie,[ˈstaɪmi],vt. 阻碍,present an obstacle,2
lithe,[laɪð],adj.敏捷的，轻盈的; adj.柔软的,1.grace; 2.easily bent,2
scourge,[skɜːrdʒ],n.祸害,source of harm,2
budge,[bʌdʒ],v.停止抵抗，屈服,cease resistance,2
repartee,[ˌrepɑːrˈtiː],n.打趣，善意的玩笑,good-natured teasing,2
trudge,[trʌdʒ],vi. 吃力而笨拙地走,heavily or clumsily,2
renege,[rɪˈneɡ],v.放弃，摒弃,formally reject,2
spike,[spaɪk],v. 激励,vigor,2
bale,[beɪl],n.痛苦，悲哀,sorrow,2
vouchsafe,[ˌvaʊtʃˈseɪf],v.允诺，给予,grant in a gracious manner,2
