Word,Pronunciation,Translation,Definition,Familiarity
mannered,[ˈmænərd],adj.不自然的，做作的,artificial,2
ham-handed,[hæm ˈhændɪd],adj.笨手笨脚的,lacking dexterity,2
pellucid,[pəˈluːsɪd],adj.清晰明确的，易懂的,transparently clear,2
disaffected,[ˌdɪsəˈfektɪd],adj. 不满的，叛逆的,"discontented, rebellious",2
rabid,[ˈræbɪd],adj.狂热的，不冷静的,fanatical,2
ad hoc,,adj.专门的,particular end,2
ingrained,[ɪnˈɡreɪnd],adj. 本质的，根深蒂固的,firmly established,2
turbid,[ˈtɜːrbɪd],adj. 混浊的,deficient in clarity,2
full-bodied,[ˌfʊl ˈbɒdid],adj.重要的,importance,2
narcissistic,[ˌnɑːrsɪˈsɪstɪk],adj.自恋的,undue fascination with oneself,2
variegated,[ˈverɪɡeɪtɪd],adj. 杂色的，斑驳的,different colors,2
stouthearted,['staʊt'hɑrtɪd],adj. 勇敢的,stout spirit,2
kindred,[ˈkɪndrəd],adj. 类似的；具有相似或相近的起源、本性或性质的,"similar, origin",2
upbraid,[ʌpˈbreɪd],vt. （严厉地）谴责，责骂,reproach severely,2
therapeutic,[ˌθerəˈpjuːtɪk],adj. 治疗的，有疗效的,treatment of disease,2
merited,[ˈmerɪtɪd],adj.应得的，理所当然的,what is called for,2
depressed,[dɪˈprest],adj. 不开心的，情绪不高的，消沉的,unhappiness,2
outmoded,[ˌaʊtˈmoʊdɪd],adj.过时的，废弃的,no longer usable,2
wicked,[ˈwɪkɪd],adj. 邪恶的,morally bad,2
dated,[ˈdeɪtɪd],adj.过时的,passed its time of use,2
reserved,[rɪˈzɜːrvd],adj.内向的，缄默的,restrained,2
proofread,[ˈpruːfriːd],v.校对,find errors,2
dyspeptic,[dɪsˈpeptɪk],adj. 脾气坏的,bad-tempered,2
elastic,[ɪˈlæstɪk],adj. 有弹性的   ; adj. 能（迅速从伤痛中）恢复的,1. resuming shape; 2. recovering from depression,2
dogged,[ˈdɔːɡɪd],adj. 固执的，任性的,sticking to,2
polished,[ˈpɑːlɪʃt],adj.有教养的,showing a high degree of refinement,2
viscid,[ˈvɪsɪd],adj. 有粘性的,glutinous,2
enamored,[ɪˈnæmərd],adj.迷恋的，热爱的,intense or excessive love,2
majestic,[məˈdʒestɪk],adj.宏伟壮丽的,impressively beautiful,2
watershed,[ˈwɔːtərʃed],n. 重要关头，分水岭,turning point,2
cramped,[kræmpt],n.狭小的，狭窄的,uncomfortably small or restricted,2
demotic,[dɪˈmɑːtɪk],adj. 通俗的，大众化的,common,2
jaded,[ˈdʒeɪdɪd],adj. 厌倦的，没兴趣没热情的,having patience exhausted,2
dignified,[ˈdɪɡnɪfaɪd],adj. 高贵庄严的,"serious, formal",2
self-absorbed,"[ˌself əbˈzɔːrbd,ˌself əbˈsɔːrbd]",adj.自恋的，自私的,absorbed in one's own,2
dread,[dred],n.恐惧,fear,2
authentic,[ɔːˈθentɪk],adj.真实的，非仿造的,exactly,2
dappled,[ˈdæpld],adj. 有斑点的，花的,marked with small spots,2
measured,[ˈmeʒərd],adj.深思熟虑的,calculated,2
backhanded,[ˌbækˈhændɪd],adj.间接的,indirect,2
committed,[kəˈmɪtɪd],adj.忠诚的，忠实的,loyal,2
convoluted,[ˈkɑːnvəluːtɪd],adj.复杂的，费解的,complicated,2
unwonted,[ʌnˈwoʊntɪd],adj. 不习惯的，不寻常的,not habitual or ordinary; unusual,2
serried,[ˈserid],adj.密集的,little space,2
goad,[ɡoʊd],vt.刺激，驱使，激发,incite; rouse,2
septic,[ˈseptɪk],adj.腐败的，感染的,putrefaction,2
caustic,[ˈkɔːstɪk],adj.挖苦讽刺的，刻薄的,marked by incisive sarcasm,2
havoc,[ˈhævək],n. 大混乱,out of order,2
shred,[ʃred],n.少量,small amount,2
ragged,[ˈræɡɪd],adj.凹凸不平的，不光滑的,not smooth,2
sordid,[ˈsɔːrdɪd],adj.肮脏的，不干净的; adj.卑鄙的,1.not clean; 2.baseness,2
rustic,[ˈrʌstɪk],n.乡下人；头脑简单的人; adj.乡村的; adj.粗俗的,1.awkward or simple person; 2.open areas with few buildings; 3.lacking polish,2
cherished,[ˈtʃerɪʃt],adj.受喜爱的，珍爱的,granted special treatment,2
half-baked,[ˌhæf ˈbeɪkt],adj.不明智的,lack of good sense or judgment,2
halfhearted,[ˌhæfˈhɑːrtɪd],adj.不感兴趣的，不热情的,lacking heart,2
exotic,[ɪɡˈzɑːtɪk],adj.外来的，不同寻常的,unusual,2
unlettered,[ˌʌnˈletərd],adj. 未受教育的，文盲的,deficient in the knowledge; illiterate,2
hackneyed,[ˈhæknid],adj.陈腐的，缺乏创新的,lacking; freshness; originality,2
nomad,[ˈnoʊmæd],adj./n. 游牧的；居无定所的人,no fixed residence,2
untold,[ˌʌnˈtoʊld],adj. 数不清的,numerous,2
herald,[ˈherəld],vt. 预示，预兆,indication of beforehand,2
descend,[dɪˈsend],v. 下降    ; v.世代相传,1. downward; 2. pass by inheritance,2
bound,[baʊnd],n.界限; adj.投入的，坚定的,1. a limit; 2. fully committed,2
prod,[prɑːd],v.促使…行动,try to persuade,2
comprehend,[ˌkɑːmprɪˈhend],vt.理解，了解；; vt.包括，包含,1. grasp; 2. contain or hold within,2
foreword,[ˈfɔːrwɜːrd],n.前言,preface,2
untoward,[ʌnˈtɔːrd],adj. 倒霉的，不吉利的; adj. 难以驯服的，难以驾驭的,"1. not favorable, unpropitious; 2. resisting control or discipline",2
concord,[ˈkɑːnkɔːrd],n.一致，和睦,accord,2
minutiae,"[mɪˈnuːʃiiː,mɪˈnuːʃiaɪ]",n.次要的细节，小事,minor detail,2
hidebound,[ˈhaɪdbaʊnd],adj. 死板的，极度保守的,tending to favor,2
slipshod,[ˈslɪpʃɑːd],adj.粗心的，随意的,"indifference to exactness,precision,and accuracy",2
tepid,[ˈtepɪd],adj. 不太热心的,little or no interest,2
vapid,[ˈvæpɪd],adj. 无趣的，乏味的,lacking interest,2
solace,[ˈsɑːləs],n.安慰; vt.安慰，安抚,1.comfort in sorrow; 2.console,2
transcend,[trænˈsend],vt. 超越，超过极限,beyond the limits,2
rend,[rend],vt.撕裂，猛拉,tear or split apart,2
embrace,[ɪmˈbreɪs],vt. 乐于接受,"willingly, eagerly",2
jaundice,[ˈdʒɔːndɪs],n. (因嫉妒或厌世而产生的）偏见,bias,2
commonplace,[ˈkɑːmənpleɪs],adj./ n.司空见惯的（事物）,heard so often as to be dull,2
fecund,"[ˈfiːkənd,ˈfekənd]",adj.多产的，肥沃的,fruitful,2
bland,[blænd],adj.无趣的,dull,2
piebald,[ˈpaɪbɔːld],adj.混合的，杂糅而成的,consisting of different colors,2
languid,[ˈlæŋɡwɪd],adj. 没精打采的，虚弱的,lacking energy,2
commend,[kəˈmend],vt.赞扬,praise,2
gibe,[dʒaɪb],v.嘲弄,taunting words,2
rubicund,[ˈruːbɪkənd],adj.红润的，健康的,healthy rosiness,2
avid,[ˈævɪd],adj.急切渴望的,enthusiasm,2
acrid,[ˈækrɪd],adj.刻薄的,cause hurt feeling,2
absurd,[əbˈsɜːrd],adj.不合理的,unreasonable,2
proscribe,[proʊˈskraɪb],v.禁止，排斥,forbid,2
canard,[ˈkænɑːrd],n.谣传，误传,a deliberately misleading story,2
circumscribe,[ˈsɜːrkəmskraɪb],vt.限制,restrict,2
hybrid,[ˈhaɪbrɪd],n. 杂交品种，混合品种; adj. 杂交的,1. mixed origin; 2. parents of different races,2
