Word,Pronunciation,Translation,Definition,Familiarity
mannered,[ˈmænərd],adj.不自然的，做作的,artificial,2
ham-handed,[hæm ˈhændɪd],adj.笨手笨脚的,lacking dexterity,2
pellucid,[pəˈluːsɪd],adj.清晰明确的，易懂的,transparently clear,2
disaffected,[ˌdɪsəˈfektɪd],adj. 不满的，叛逆的,"discontented, rebellious",2
rabid,[ˈræbɪd],adj.狂热的，不冷静的,fanatical,2
ad hoc,,adj.专门的,particular end,2
turbid,[ˈtɜːrbɪd],adj. 混浊的,deficient in clarity,2
stouthearted,['staʊt'hɑrtɪd],adj. 勇敢的,stout spirit,2
upbraid,[ʌpˈbreɪd],vt. （严厉地）谴责，责骂,reproach severely,2
dyspeptic,[dɪsˈpeptɪk],adj. 脾气坏的,bad-tempered,2
viscid,[ˈvɪsɪd],adj. 有粘性的,glutinous,2
demotic,[dɪˈmɑːtɪk],adj. 通俗的，大众化的,common,2
jaded,[ˈdʒeɪdɪd],adj. 厌倦的，没兴趣没热情的,having patience exhausted,2
dread,[dred],n.恐惧,fear,2
dappled,[ˈdæpld],adj. 有斑点的，花的,marked with small spots,2
measured,[ˈmeʒərd],adj.深思熟虑的,calculated,2
unwonted,[ʌnˈwoʊntɪd],adj. 不习惯的，不寻常的,not habitual or ordinary; unusual,2
serried,[ˈserid],adj.密集的,little space,2
goad,[ɡoʊd],vt.刺激，驱使，激发,incite; rouse,2
septic,[ˈseptɪk],adj.腐败的，感染的,putrefaction,2
caustic,[ˈkɔːstɪk],adj.挖苦讽刺的，刻薄的,marked by incisive sarcasm,2
havoc,[ˈhævək],n. 大混乱,out of order,2
shred,[ʃred],n.少量,small amount,2
ragged,[ˈræɡɪd],adj.凹凸不平的，不光滑的,not smooth,2
sordid,[ˈsɔːrdɪd],adj.肮脏的，不干净的; adj.卑鄙的,1.not clean; 2.baseness,2
rustic,[ˈrʌstɪk],n.乡下人；头脑简单的人; adj.乡村的; adj.粗俗的,1.awkward or simple person; 2.open areas with few buildings; 3.lacking polish,2
unlettered,[ˌʌnˈletərd],adj. 未受教育的，文盲的,deficient in the knowledge; illiterate,2
hackneyed,[ˈhæknid],adj.陈腐的，缺乏创新的,lacking; freshness; originality,2
herald,[ˈherəld],vt. 预示，预兆,indication of beforehand,2
prod,[prɑːd],v.促使…行动,try to persuade,2
untoward,[ʌnˈtɔːrd],adj. 倒霉的，不吉利的; adj. 难以驯服的，难以驾驭的,"1. not favorable, unpropitious; 2. resisting control or discipline",2
hidebound,[ˈhaɪdbaʊnd],adj. 死板的，极度保守的,tending to favor,2
slipshod,[ˈslɪpʃɑːd],adj.粗心的，随意的,"indifference to exactness,precision,and accuracy",2
tepid,[ˈtepɪd],adj. 不太热心的,little or no interest,2
solace,[ˈsɑːləs],n.安慰; vt.安慰，安抚,1.comfort in sorrow; 2.console,2
rend,[rend],vt.撕裂，猛拉,tear or split apart,2
jaundice,[ˈdʒɔːndɪs],n. (因嫉妒或厌世而产生的）偏见,bias,2
rubicund,[ˈruːbɪkənd],adj.红润的，健康的,healthy rosiness,2
canard,[ˈkænɑːrd],n.谣传，误传,a deliberately misleading story,2
florid,[ˈflɔːrɪd],adj.辞藻华丽的，花哨的,full of fancy expressions,2
squalid,[ˈskwɑːlɪd],adj. 污秽的，肮脏的,dirty,2
abscond,[əbˈskɑːnd],v.偷偷离开,depart secretly,2
hoard,[hɔːrd],v. 贮藏，秘藏,keep hidden,2
limpid,[ˈlɪmpɪd],adj.透明清澈的,transparent clearness,2
pallid,[ˈpælɪd],adj.无生气的，缺乏活力的; adj.苍白无血色的,"1.lacking radiance,vitality; 2.pale",2
gild,[ɡɪld],vt.（带欺骗性地）修改，润色,deceptively attractive,2
torrid,[ˈtɔːrɪd],adj. 酷热的; adj. 热情的，情感深厚的,1. intensely hot; 2. great depth of feeling,2
dullard,[ˈdʌlɑːrd],n. 笨蛋,stupid,2
fetid,[ˈfetɪd],adj.恶臭的,offensive smell,2
sluggard,[ˈslʌɡərd],n.懒人,lazy person,2
jocund,"[ˈdʒɑːkənd,ˈdʒoʊkənd]",adj. 欢快的，高兴的,sprightly and lighthearted,2
torpid,[ˈtɔːrpɪd],adj. 麻木的，没有知觉的,lacking in sensation,2
foreground,[ˈfɔːrɡraʊnd],vt.强调，重视,indicate the importance,2
strand,[strænd],vt. 遗弃，使置于困境,leave in a unfavorable place,2
distend,[dɪˈstend],v.(使）膨胀,expand,2
lurid,[ˈlʊrɪd],adj.恐怖的，令人反感的,causing revulsion,2
diatribe,[ˈdaɪətraɪb],n. 长篇抨击性演讲,long scolding,2
xenophobe,['zɛnəfob],n. 仇视（或畏惧）外国人（或外国事物）者,fearful of what is foreign,2
turgid,[ˈtɜːrdʒɪd],adj. 浮夸的，过分装饰的,embellished,2
intrepid,[ɪnˈtrepɪd],adj. 大胆的,resolute fearlessness,2
grandstand,[ˈɡrænstænd],vi.为了给人留下印象而表演，哗众取宠,impress,2
ribald,"[ˈrɪbld,ˈraɪbɔːld]",adj.（举止、言语）下流粗俗的,vulgar,2
stolid,[ˈstɑːlɪd],adj. 无动于衷的，感情麻木的,little emotion,2
moribund,[ˈmɔːrɪbʌnd],adj.即将过时的,obsolete,2
chokehold,,n.压制,a force that stops something from growing,2
chord,[kɔːrd],v.与…和谐一致；符合,agree,2
platitude,[ˈplætɪtuːd],n.陈词滥调,a banal statement,2
vicissitude,[vɪˈsɪsɪtuːd],n. 自然变化，变迁兴衰,natural change,2
implode,[ɪmˈploʊd],v. （使）剧烈收缩，（使）坍缩，（使）内爆,collapse inward,2
pulchritude,"[ˈpʌlkrɪtjuːd,ˈpʌlkrɪtuːd]",n.美丽,beauty,2
puissance,[ˈpwɪsəns],n.权力,power,2
edifice,[ˈedɪfɪs],n. 大厦，大建筑物 ;  n. 基础，基本框架,1. massive structure; 2.basic form,2
pittance,[ˈpɪtns],n.少量津贴,a small portion,2
credence,[ˈkriːdns],n.坚信,firm belief,2
truce,[truːs],n. 休战，休战协定,suspension of fighting,2
lassitude,[ˈlæsɪtuːd],n. 乏力，没精打采,diminished energy,2
seduce,[sɪˈduːs],vt.劝说（使不忠，使不顺从），诱…误入歧途,persuade,2
secede,[sɪˈsiːd],vi. 脱离，退出（组织，团体，联盟等）,withdraw from an organization,2
complaisance,[kəmˈpleɪzəns],n.愿意顺从，讨好，彬彬有礼,"disposition to comply, affability",2
convalesce,[ˌkɑːnvəˈles],v.渐渐康复，渐愈,recover gradually,2
discommode,"[,dɪskə'məʊd]",vt. 打扰，使不便,trouble,2
abrade,[əˈbreɪd],v.磨损，精神上折磨,wear away by friction,2
denude,[dɪˈnuːd],vt. 脱去，使赤裸,bare,2
lance,[læns],v.刺穿，刺破,penetrate with a pointed object,2
renegade,[ˈrenɪɡeɪd],n.背教者，叛徒,"a deserter from one faith, cause, or allegiance to another",2
tirade,[ˈtaɪreɪd],n. 长篇抨击性演讲,"angry, of censorious or denunciatory",2
latitude,[ˈlætɪtuːd],n. （行动或言论）自由,freedom,2
bromide,[ˈbroʊmaɪd],n.陈词滥调,a hackneyed statement,2
penance,[ˈpenəns],n.忏悔,regret,2
farce,[fɑːrs],n.闹剧,ridiculous,2
effervesce,"[,efə'ves]",vi. 兴奋，热情洋溢,high spirits,2
splice,[splaɪs],vt. 接合，叠接,unite,2
abeyance,[əˈbeɪəns],n.中止，搁置,inactivity,2
cascade,[kæˈskeɪd],n.一连串，大量,rushing forth in quantity,2
ensconce,[ɪnˈskɑːns],vt. 隐藏,hiding,2
caprice,[kəˈpriːs],n.反复无常，善变,change one's mind impulsively,2
