Word,Pronunciation,Translation,Definition,Familiarity
boggle,[ˈbɑːɡl],v.（因为怀疑、恐惧）犹豫,hesitate,2
rumple,[ˈrʌmpl],vt.打乱，使不整齐,undo the proper order,2
goggle,[ˈɡɑːɡl],vi.凝视,look,2
cumbersome,[ˈkʌmbərsəm],adj. 笨重的，难处理的,difficult to handle,2
pinnacle,[ˈpɪnəkl],n.顶峰,the highest point,2
heckle,[ˈhekl],vt.起哄，使难堪,harass,2
guzzle,[ˈɡʌzl],v.狂饮,drink greedily,2
rankle,[ˈræŋkl],vt.激怒,cause anger,2
agape,[əˈɡeɪp; ˈæɡəpi],adj.急切盼望的,eagerly awaiting,2
threadbare,[ˈθredber],adj. 陈腐的,hackneyed,2
abjure,[əbˈdʒʊr],v.发誓放弃; v.抵制，避免,1.rejecting; 2.resist,2
importune,[ˌɪmpɔːrˈtuːn],vt. 恳求，迫切请求,urgent manner,2
libertine,[ˈlɪbərtiːn],n.放荡不羁者,without moral restraint,2
persevere,[ˌpɜːrsəˈvɪr],v.坚持不懈，不屈不挠,persist,2
jejune,[dʒɪˈdʒuːn],adj.无趣乏味的,not interesting,2
philistine,[ˈfɪlɪstiːn],n.市侩（注重物质而鄙视智慧或艺术的人）,a person guided by materialism,2
arcane,[ɑːrˈkeɪn],adj.深奥的，难以理解的,difficult to understand,2
bane,[beɪn],n.有害的物质,kill or injure a living thing,2
attune,[ə'tʊn; ə'tjʊn],vt.使协调，使和谐,into harmony,2
chaperone,[ˈʃæpəroʊn],vt.同行，护送,go along with,2
wane,[weɪn],vi. 减少，衰退，缺少的,decrease,2
germane,[dʒɜːrˈmeɪn],adj.有关的，适当的,relevant,2
serpentine,[ˈsɜːrpəntiːn],adj.弯曲的,winding,2
epicure,[ˈepɪkjʊr],n.美食家,one with discriminating tastes,2
pine,[paɪn],v.渴望，奢望,yearn intensely,2
inure,[ɪˈnjʊr],vt. 使习惯接受不好的东西,accustom,2
anodyne,[ˈænədaɪn],adj.无害的,not causing hurt,2
snare,[sner],n.无法逃脱的困境; vt.捕捉,1.catches and holds; 2.capture by,2
inane,[ɪˈneɪn],adj. 空洞的,lacking significance,2
saccharine,[ˈsækərɪn],adj.像糖一样的，有甜味的; adj.做作的，矫情的,1.sugar; 2.appealing to the emotions,2
drone,[droʊn],v. 低沉单调地说；嗡嗡地叫,talk monotonous,2
stricture,[ˈstrɪktʃər],n. 责难，批评,criticism,2
repine,[rɪˈpaɪn],vi.抱怨，表达不满；; vi.渴望,1.express discontent; 2.long for,2
saturnine,[ˈsætərnaɪn],adj.忧郁的，阴沉的,lacking in cheer,2
shipshape,[ˈʃɪpʃeɪp],adj.井然有序的,order,2
conjure,[ˈkɑːndʒər],vt.请求，恳求；; vt.在脑海中浮现，想起,1. entreat earnestly; 2. form a mental picture,2
