Word,Pronunciation,Translation,Definition,Familiarity
panache,"[pəˈnæʃ,pəˈnɑːʃ]",n.炫耀,flamboyance,2
disgorge,[dɪsˈɡɔːrdʒ],v. 呕吐出,discharge; vomit,2
cache,[kæʃ],n.囤货，藏货,a supply,2
imperturbable,[ˌɪmpərˈtɜːrbəbl],adj. 沉着冷静的，淡定的,extremely calm,2
bonhomie,[ˌbɑːnəˈmiː],n.温和，和蔼,geniality,2
brake,[breɪk],v.刹车,proceed at a less rapid pace,2
constringe,[kənˈstrɪndʒ],v.使紧缩,draw together,2
hodgepodge,[ˈhɑːdʒpɑːdʒ],n. 大杂烩,"mixture, dissimilar",2
yoke,[joʊk],v. 连接,become joined,2
homage,"[ˈhɑːmɪdʒ,oʊˈmɑːʒ]",n. 尊敬，敬意,respect,2
subterfuge,[ˈsʌbtərfjuːdʒ],n. 诡计,deception to conceal,2
referee,[ˌrefəˈriː],n.仲裁者；裁判员/vt.（就纠纷或争议）给出意见,impartially resolves a dispute,2
forge,[fɔːrdʒ],v.伪造; v.锻造，铸就,1. imitate falsely; 2. form,2
loathe,[loʊð],vt.厌恶,dislike,2
presage,[ˈpresɪdʒ],n.征兆; v.预示，预言,1. a warning of future event; 2. foretell or predict,2
plunge,[plʌndʒ],v.突然下降,descend suddenly,2
stale,[steɪl],adj.陈旧乏味的,so often as to be dull,2
catastrophe,[kəˈtæstrəfi],n.大灾难; n.彻底的失败,1. a tragedy; 2. utter failure,2
deluge,[ˈdeljuːdʒ],n. 大暴雨   n. 大量,1. drenching rain; 2. great flow,2
assuage,[əˈsweɪdʒ],vt.缓和，减轻,lessen intensity,2
strike,[straɪk],n. 攻击; vt. 击打; vt. 袭击，攻击; vt. 撞击,1. force or violence; 2. deliver a blow; 3. violent action; 4. forceful contact,2
rage,[reɪdʒ],n./v.暴怒,violent anger,2
camaraderie,[ˌkɑːməˈrɑːdəri],n.友情,a spirit of friendly fellowship,2
barrage,[bəˈrɑːʒ],n.有压倒之势的言语,an overwhelming outpouring,2
grudge,[ɡrʌdʒ],n.怨恨，仇恨,ill will,2
fringe,[frɪndʒ],n.边缘,border,2
rife,[raɪf],adj.丰富的，普遍的,great numbers,2
persiflage,[ˈpɜːrsɪflɑːʒ],n.打趣,teasing,2
evoke,[ɪˈvoʊk],vt.唤起，引发,call up,2
dodge,[dɑːdʒ],v. 躲避,avoid,2
disparage,[dɪˈspærɪdʒ],vt. 贬低，轻蔑地说,"lower, disrespectful",2
pastiche,[pæˈstiːʃ],n.（带嘲讽的）模仿; n.大杂烩,1.with satirical intent; 2.hodgepodge,2
hedge,[hedʒ],v. 闪烁其词,avoid definite answer,2
bulge,[bʌldʒ],n.凸起,a protuberant,2
slake,[sleɪk],vt.使满足,satisfy,2
blithe,[blaɪð],adj.愉快高兴的; adj.无忧无虑的；漫不经心的,"1. happy, lighthearted; 2. having freedom from worries",2
fail-safe,[ˈfeɪl seɪf],n.保险措施; adj.万无一失的,1.preclude loss; 2.no chance of failure,2
singe,[sɪndʒ],vt.轻微烧焦,burn superficially,2
gauche,[ɡoʊʃ],adj.笨拙的，缺乏社交经验的,lacking grace,2
hale,[heɪl],adj.强壮的，健壮的,free from infirmity or illness,2
divulge,[daɪˈvʌldʒ],vt. 泄露（秘密),known confidence or secret,2
stoke,[stoʊk],vt. 增大，促进,make greater,2
hie,[haɪ],vi. 匆匆忙忙,hasten,2
stymie,[ˈstaɪmi],vt. 阻碍,present an obstacle,2
provoke,[prəˈvoʊk],vt.激怒; vt.驱使，激起,1.incite anger; 2.stir feeling,2
lithe,[laɪð],adj.敏捷的，轻盈的; adj.柔软的,1.grace; 2.easily bent,2
finale,[fɪˈnæli],n.终场，结局,closing part,2
cliché,[kliːˈʃeɪ],n./adj.陈词滥调（的）,a hackneyed theme,2
scourge,[skɜːrdʒ],n.祸害,source of harm,2
forage,[ˈfɔːrɪdʒ],vi.寻找,search,2
converge,[kənˈvɜːrdʒ],v.汇集，交汇于一点,move toward one,2
budge,[bʌdʒ],v.停止抵抗，屈服,cease resistance,2
abridge,[əˈbrɪdʒ],v.缩短，缩小,shorten,2
estrange,[ɪ'streɪn(d)ʒ; e-],vt.使疏远，离间，使感情失和,arouse enmity,2
repartee,[ˌrepɑːrˈtiː],n.打趣，善意的玩笑,good-natured teasing,2
salvage,[ˈsælvɪdʒ],vt.（从灾难中）抢救,save from loss,2
revenge,[rɪˈvendʒ],n.报复，复仇/vt.为…复仇,retaliation,2
trudge,[trʌdʒ],vi. 吃力而笨拙地走,heavily or clumsily,2
exude,[ɪɡˈzuːd],v.分泌，流出,flow forth,2
renege,[rɪˈneɡ],v.放弃，摒弃,formally reject,2
rookie,[ˈrʊki],n.新兵；新手；菜鸟,recruit,2
rationale,[ˌræʃəˈnæl],n.基本原理，解释,explain,2
spike,[spaɪk],v. 激励,vigor,2
bale,[beɪl],n.痛苦，悲哀,sorrow,2
vouchsafe,[ˌvaʊtʃˈseɪf],v.允诺，给予,grant in a gracious manner,2
vestige,[ˈvestɪdʒ],n. 微小的遗迹，小痕迹,smallest trace,2
belie,[bɪˈlaɪ],v.掩饰；;  v.与…相对立；与…相矛盾,1. shut off from view; 2. be counter to,2
equable,[ˈekwəbl],adj.（脾气、性情）温和的,serene,2
irascible,[ɪˈræsəbl],adj. 易怒的,easily provoked anger,2
babble,[ˈbæbl],v.发出含糊无意义的嘟囔声，胡乱说；,utter meaningless,2
agreeable,[əˈɡriːəbl],adj.令人愉悦的；; adj.相一致的,1. pleasing to the mind or senses; 2. in harmony,2
affable,[ˈæfəbl],adj.和蔼的，温和的,ease friendliness,2
impeccable,[ɪmˈpekəbl],adj. 无暇的，无可挑剔的,free from fault,2
viable,[ˈvaɪəbl],adj. 可行的,being done,2
formidable,"[ˈfɔːrmɪdəbl,fərˈmɪdəbl]",adj.艰难的,requiring effort,2
